offspring father confidence.x mother confidence.y father_combo mother_combo offspring_combo mother.pop father.pop mother.ind father.ind cross.dir cross
BW-Combo1-096 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-1 PPxPL PP-F-2xPL-M-1
BW-Combo1-097 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-1 PL-M-1 PPxPL PP-F-1xPL-M-1
BW-Combo1-098 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-4 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-4 PP-M-4 PLxPP PL-F-4xPP-M-4
BW-Combo1-099 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-2 PP-M-4 PLxPP PL-F-2xPP-M-4
BW-Combo1-0NA BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-1 PP-M-4 PPxPP PP-F-1xPP-M-4
BW-Combo1-100 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-1 PL-M-1 PPxPL PP-F-1xPL-M-1
BW-Combo1-101 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-1 PPxPL PP-F-2xPL-M-1
BW-Combo1-102 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-1 PL-M-1 PPxPL PP-F-1xPL-M-1
BW-Combo1-103 BW-Combo1-PP-M-4 95% BW-Combo1-PL-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PL PP PL-F-2 PP-M-4 PLxPP PL-F-2xPP-M-4
BW-Combo1-104 BW-Combo1-PL-M-1 95% BW-Combo1-PP-F-1 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-1 PL-M-1 PPxPL PP-F-1xPL-M-1
BW-Combo1-105 BW-Combo1-PL-M-2 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PL PP-F-2 PL-M-2 PPxPL PP-F-2xPL-M-2
BW-Combo1-106 BW-Combo1-PP-M-4 95% BW-Combo1-PP-F-2 95% BW-Combo1 BW-Combo1 BW-Combo1 PP PP PP-F-2 PP-M-4 PPxPP PP-F-2xPP-M-4
